ID_hg38	n_unique_genes_in_ld_block
2_211514793_213149558	1
2_214709071_216850938	1
2_217530757_219589829	10
2_223994702_224975287	1
2_228506071_230978674	1
2_230978674_232685293	1
2_23118512_24464049	1
2_24464049_26672117	5
2_26672117_28375910	5
2_28375910_28994693	4
2_30240845_31327584	1
2_35896940_37905569	4
2_46255495_47091633	3
2_47985862_49795119	1
2_53281314_54458089	3
2_54458089_55976210	1
2_5568205_6696122	2
2_62201909_64398779	2
2_8282017_10158342	1
2_84913556_87738988	2
2_94660727_98378738	2
2_98378738_101205867	4
20_15977714_17506587	2
20_24737088_25363595	2
20_2488855_3847766	1
20_25363595_33027017	3
20_33027017_34225635	2
20_34225635_36332043	4
20_36332043_38281128	2
20_3847766_5497204	1
20_44051536_46210417	2
20_48583442_50623121	3
20_55438728_57872903	1
20_62670503_63558827	3
20_63558827_64333810	1
20_716956_2488855	1
20_8136364_9750273	1
21_31296327_33004691	1
21_37339402_39110976	1
21_39110976_40017600	5
21_40017600_41901419	1
21_41901419_43086158	2
21_44757190_46072312	3
22_17193405_17813322	3
22_19924835_22002927	1
22_35134992_37174229	1
22_37174229_38911889	3
22_38911889_40149793	1
22_40149793_42294812	6
22_49430885_50804870	2
3_107263964_109803548	5
3_10977979_13029299	1
3_117081306_118811404	1
3_118811404_120804208	4
3_122255250_123798921	1
3_125217798_126496100	2
3_128476018_130525891	1
3_130525891_132117672	1
3_135738064_137652241	5
3_147008842_149325450	2
3_14775393_16240935	5
3_153538782_154996429	1
3_156290911_157594239	2
3_157594239_159760101	3
3_167399641_168863172	2
3_168863172_171247120	2
3_178389377_179656798	2
3_181793378_184051895	4
3_184051895_185350467	2
3_185350467_187172556	1
3_195065945_196244537	5
3_196244537_197349116	9
3_20049856_21602215	1
3_42498510_45123661	6
3_45123661_46616010	1
3_46616010_47685722	3
3_47685722_49279539	2
3_49279539_51797999	14
3_51797999_54047363	22
3_60287177_62369991	1
3_66220021_68237764	1
3_70399877_72480178	1
3_72480178_74272666	1
3_84318328_85533081	1
3_8606875_9501499	1
3_87360582_88249223	2
3_88249223_94536472	1
3_9501499_10977979	1
4_102300199_104384137	3
4_119012357_119471529	1
4_119471529_121736832	1
4_142522112_145257035	2
4_145257035_147600722	1
4_1476986_2841252	3
4_169855359_171637484	1
4_25607700_27342100	1
4_2841252_3844313	4
4_40200989_42211041	1
4_42211041_43963028	1
4_4682389_5500661	1
4_48121583_53011266	2
4_53011266_54563389	3
4_5500661_6771316	1
4_67193779_67989047	1
4_73726673_76209554	1
4_7537965_8150508	1
4_76209554_78172825	3
4_78172825_80069143	1
4_80069143_81204161	1
4_86613495_88316876	1
4_9324753_10697528	1
4_98502916_99757203	1
4_99757203_102300199	1
5_102243065_103984304	1
5_103984304_105515782	1
5_106557354_107928495	1
5_123221211_124462407	1
5_124462407_126449957	1
5_130183332_132803957	1
5_137040361_139885487	2
5_141266403_143601683	2
5_153488214_154393528	2
5_157201689_159398690	1
5_176023592_177824506	1
5_178986463_179974244	3
5_41888608_43983397	7
5_66615458_68555033	2
5_74463501_76503041	3
5_76503041_78327508	1
5_81185652_82729829	2
5_86471473_88094174	2
5_88094174_89595713	3
5_96627815_97979897	4
5_982137_2132328	2
6_108143176_109983044	4
6_109983044_112023811	3
6_118641952_119642117	1
6_121584530_123535036	1
6_125103237_127219316	3
6_129539886_130614309	1
6_130614309_132444530	2
6_13209156_14802693	2
6_139524299_141967342	1
6_14802693_17386174	1
6_152773361_154652986	1
6_161748532_162510171	1
