ID_hg38	n_unique_genes_in_ld_block
16_77489781_78422395	2
16_81738931_82714123	2
16_83443603_84412277	4
16_84412277_85115079	1
16_85115079_86122993	1
16_87613743_88974757	3
16_88974757_90226404	5
17_10062604_11199498	1
17_1269105_2025437	10
17_150263_1269105	3
17_15115780_16509028	1
17_16509028_18953007	8
17_18953007_21387045	1
17_2025437_3799018	1
17_21387045_29007226	5
17_29007226_31459473	12
17_31459473_33211407	6
17_3799018_4792966	1
17_38653091_40721152	10
17_41743558_43694719	9
17_43694719_44979537	3
17_44979537_47798656	22
17_47798656_49440038	12
17_4792966_5838014	1
17_49440038_51821597	2
17_55522071_57280180	1
17_57280180_59410151	5
17_5838014_7414079	7
17_61235394_63468228	4
17_63468228_65152010	9
17_65152010_66804312	2
17_66804312_69862629	10
17_69862629_71391676	2
17_7414079_8403107	8
17_74676064_76379479	3
17_76379479_78267332	7
17_78267332_79302554	6
17_79302554_80863788	1
17_80863788_82076532	12
17_82076532_83247139	5
17_8403107_10062604	1
18_10644_912485	1
18_11905441_14440800	2
18_1942910_3891658	3
18_23069508_25416687	3
18_25416687_26446227	1
18_26446227_28347718	2
18_34200103_36282001	4
18_46719283_48413361	2
18_48413361_50204214	3
18_50204214_53535815	1
18_61353518_62610482	2
18_74304227_75815032	1
18_75815032_77101859	1
18_8498933_11075914	1
19_11173352_13360313	13
19_13360313_14375535	4
19_16263605_18299052	11
19_18299052_19766662	6
19_19766662_20722951	2
19_20722951_22550094	3
19_2098397_3019662	3
19_29300040_30237047	1
19_3019662_4348970	3
19_33772047_35978393	6
19_35978393_37036131	2
19_37036131_39679979	11
19_39679979_40478694	1
19_40478694_41625199	6
19_41625199_43358303	1
19_43358303_44239955	7
19_4348970_5811841	9
19_44239955_45599439	5
19_45599439_46646825	5
19_46646825_48778970	9
19_48778970_51029311	9
19_52482037_54099074	4
19_54099074_55216712	5
19_55216712_57009967	3
19_57009967_58607472	13
19_5811841_6684874	2
19_610729_2098397	1
19_6684874_8282629	2
19_9127717_11173352	8
2_101205867_102072305	3
2_10133_1777250	4
2_10158342_12279024	2
2_102072305_102971757	3
2_104508576_105593601	4
2_105593601_106791811	2
2_109814855_113164279	3
2_113164279_116014894	2
2_12279024_14195184	1
2_126616187_127276771	3
2_127276771_128716867	5
2_134401007_136285224	3
2_146519594_149353778	1
2_154534623_156704123	1
2_156704123_157676706	1
2_162647041_163610128	1
2_163610128_164322330	1
2_164322330_166303760	1
2_166499460_169111726	3
2_170369735_172274177	7
2_172274177_174724201	2
2_174724201_176498908	3
2_177688455_180448012	5
2_181401304_183492880	3
2_18466157_19492643	1
2_189017339_191108631	4
2_19492643_20850730	1
2_198446401_200711561	1
2_200711561_201953914	1
2_201953914_204934518	5
2_205870980_207780675	1
2_207780675_209076805	1
2_209076805_211514793	3
2_214709071_216850938	1
2_216850938_217530757	3
2_217530757_219589829	9
2_221656456_223994702	1
2_223994702_224975287	1
2_224975287_227255126	1
2_227255126_228506071	1
2_230978674_232685293	1
2_23118512_24464049	5
2_232685293_234242343	2
2_236540389_237852338	1
2_237852338_239030947	3
2_239030947_240620667	1
2_240620667_241210506	1
2_241210506_242147200	7
2_24464049_26672117	3
2_26672117_28375910	3
2_28375910_28994693	2
2_28994693_30240845	1
2_30240845_31327584	1
2_31327584_33138710	5
2_33138710_35119962	1
2_35896940_37905569	6
2_37905569_38804195	2
2_40054343_43082452	1
2_43082452_44086664	3
2_44086664_46255495	2
2_46255495_47091633	3
2_47985862_49795119	2
2_53281314_54458089	2
2_54458089_55976210	1
2_5568205_6696122	2
2_57201965_58070180	1
2_58070180_60064865	1
2_60064865_62201909	2
2_64398779_65706310	1
2_67783044_68912432	1
2_68912432_70528066	3
2_70528066_72947719	4
2_72947719_75402960	10
2_8282017_10158342	13
2_84913556_87738988	6
2_87738988_88855013	4
2_88855013_94660727	1
2_94660727_98378738	1
2_98378738_101205867	8
20_17506587_18991559	2
20_18991559_20979069	4
20_20979069_22510818	2
20_24737088_25363595	1
20_2488855_3847766	3
20_25363595_33027017	10
20_33027017_34225635	8
20_34225635_36332043	10
20_36332043_38281128	4
20_3847766_5497204	8
20_42986820_44051536	3
20_44051536_46210417	12
20_46210417_48583442	1
20_48583442_50623121	7
20_55438728_57872903	2
20_57872903_59831517	1
20_60986668_62670503	7
20_62670503_63558827	2
20_63558827_64333810	1
20_9750273_11268888	2
21_27752907_29824708	3
21_33004691_33853161	1
21_33853161_35152076	1
21_35152076_36498481	3
21_36498481_37339402	3
21_37339402_39110976	2
21_39110976_40017600	5
21_41901419_43086158	1
21_43086158_44757190	1
21_46072312_46699840	4
22_17813322_19924835	4
22_19924835_22002927	8
22_24588236_26395662	1
22_29255810_31043932	9
22_35134992_37174229	2
22_37174229_38911889	12
22_38911889_40149793	4
22_40149793_42294812	8
22_42294812_43318194	3
22_43318194_44599428	1
22_44599428_46074615	2
22_46074615_47200568	4
22_49430885_50804870	1
3_100873373_103366116	1
3_104862769_107263964	1
3_107263964_109803548	1
3_10977979_13029299	6
3_110794923_113096852	3
3_113096852_114229016	2
3_117081306_118811404	2
3_118811404_120804208	5
3_120804208_122255250	1
3_123798921_125217798	1
3_128476018_130525891	3
3_133533329_135738064	5
3_135738064_137652241	3
3_137652241_140235755	3
3_140235755_141620255	2
3_141620255_143445786	3
3_145946832_147008842	3
3_147008842_149325450	1
3_14775393_16240935	1
3_151630942_153538782	2
3_153538782_154996429	4
3_156290911_157594239	2
3_157594239_159760101	4
3_171247120_172577941	1
3_181793378_184051895	4
3_184051895_185350467	3
3_190508818_192626025	3
3_195065945_196244537	2
