ID_hg38	n_unique_genes_in_ld_block
4_6771316_7537965	1
4_76209554_78172825	2
4_86613495_88316876	1
4_98502916_99757203	3
4_99757203_102300199	5
5_11940_982137	1
5_130183332_132803957	11
5_137040361_139885487	2
5_141266403_143601683	2
5_155946495_157201689	3
5_157201689_159398690	1
5_171647288_173251324	2
5_176023592_177824506	1
5_177824506_178986463	1
5_33500075_35048865	2
5_52838788_54407214	1
5_54407214_56121522	1
5_61640080_62377168	1
5_66615458_68555033	1
5_71944629_74463501	1
5_74463501_76503041	4
5_76503041_78327508	3
5_78327508_80097321	2
5_96627815_97979897	3
5_97979897_99925288	1
6_108143176_109983044	3
6_130614309_132444530	1
6_133923105_135903039	3
6_135903039_137293081	1
6_24852047_25684359	3
6_25684359_26791023	1
6_28050041_28949831	2
6_28949831_29770194	7
6_29770194_30830391	7
6_30830391_31603441	2
6_31603441_32714887	16
6_32714887_33268720	1
6_33268720_35487979	5
6_35487979_37604820	1
6_39327901_40377376	2
6_42070983_43788432	5
6_47344162_48423389	3
6_50418432_52345678	1
6_52345678_53414304	4
7_100599028_101555972	8
7_114072332_117140124	3
7_122293576_124516751	1
7_127229167_129138332	2
7_129138332_130737653	1
7_137191815_139059933	1
7_139059933_140233377	1
7_140233377_140535410	1
7_16161_933116	1
7_16862445_19441924	1
7_2022763_2732593	2
7_2732593_4533797	2
7_33516156_36173929	3
7_36173929_37515581	1
7_44724229_45913323	3
7_5814895_6534226	1
7_72409900_73920272	4
7_73920272_76829247	3
7_80258753_82393370	1
7_933116_1313431	4
7_99117851_100599028	16
8_100608730_103111078	1
8_120189461_123849219	1
8_124671478_125398675	1
8_127646866_129368893	1
8_129368893_130627379	1
8_139713400_141963553	5
8_143155464_145078481	9
8_17978890_19635329	1
8_21804225_23039544	2
8_23039544_24817205	5
8_29470379_31276213	1
8_64320315_65576855	1
8_65576855_68950822	2
8_93993299_95522578	1
9_10023_1079707	1
9_110015744_112068802	1
9_119498019_122109043	6
9_124209608_126297386	1
9_127293231_129403191	5
9_132423455_134176000	4
9_18661053_20463536	1
9_1916877_3190064	1
9_20463536_22206560	1
9_22206560_24158520	1
9_3190064_4495328	1
9_34642246_36743286	12
9_36743286_38641602	2
9_70138839_71638124	1
9_89827251_91404921	3
9_91404921_93909416	5
9_96159758_98830577	6
