ID_hg38	n_unique_genes_in_ld_block
21_35152076_36498481	3
21_37339402_39110976	2
21_39110976_40017600	6
21_40017600_41901419	1
21_41901419_43086158	1
22_17813322_19924835	1
22_19924835_22002927	6
22_23370460_24588236	3
22_29255810_31043932	3
22_31043932_32268999	2
22_35134992_37174229	2
22_37174229_38911889	4
22_38911889_40149793	1
22_40149793_42294812	2
22_43318194_44599428	2
22_44599428_46074615	1
22_46074615_47200568	3
22_47200568_48507891	1
22_49430885_50804870	7
3_10977979_13029299	3
3_110794923_113096852	1
3_118811404_120804208	3
3_122255250_123798921	5
3_123798921_125217798	3
3_132117672_133533329	1
3_133533329_135738064	1
3_135738064_137652241	6
3_147008842_149325450	2
3_171247120_172577941	1
3_189138425_190508818	1
3_195065945_196244537	2
3_196244537_197349116	3
3_25420067_26836278	1
3_49279539_51797999	12
3_51797999_54047363	1
3_56399879_58171792	2
3_58171792_60287177	1
3_63683610_65287863	1
3_69227611_70399877	1
3_87360582_88249223	1
3_98497106_99654918	2
3_99654918_100873373	1
4_104384137_106580148	2
4_107894192_110335411	2
4_119012357_119471529	1
4_1476986_2841252	2
4_151861032_153556489	1
4_153556489_154134974	1
4_17381699_18840251	1
4_184008302_185987936	1
4_25607700_27342100	1
4_2841252_3844313	6
4_36018814_37253425	1
4_37253425_38905401	1
4_38905401_40200989	3
4_40200989_42211041	2
4_47409879_48121583	6
4_53011266_54563389	1
4_55681477_58068842	1
4_6771316_7537965	3
4_700926_1476986	1
4_73726673_76209554	2
4_76209554_78172825	2
4_78172825_80069143	1
4_8150508_9324753	2
4_86009456_86613495	1
4_86613495_88316876	3
5_112645865_114060588	1
5_115494673_116495351	1
5_118010518_119273125	1
5_119273125_120333347	2
5_123221211_124462407	1
5_130183332_132803957	4
5_139885487_141266403	9
5_141266403_143601683	1
5_14757695_16963504	3
5_147802435_149283061	1
5_155946495_157201689	2
5_157201689_159398690	1
5_171647288_173251324	1
5_177824506_178986463	1
5_178986463_179974244	2
5_179974244_181132933	3
5_3361827_4631997	1
5_35048865_36433852	1
5_38802308_40287627	1
5_41888608_43983397	5
5_50867564_52838788	1
5_52838788_54407214	1
5_58044246_59228796	1
5_71944629_74463501	3
5_74463501_76503041	4
5_94474279_96627815	1
5_982137_2132328	1
6_100182270_102188897	1
6_105608858_107129102	1
6_108143176_109983044	7
6_115810232_117351809	2
6_11790583_13209156	1
6_121584530_123535036	1
6_123535036_125103237	1
6_125103237_127219316	2
6_129539886_130614309	1
6_130614309_132444530	1
6_133923105_135903039	1
6_135903039_137293081	3
6_138501492_139524299	1
6_144998674_146344288	2
6_19207256_21683834	2
6_24852047_25684359	1
6_25684359_26791023	1
6_28050041_28949831	1
6_28949831_29770194	3
6_29770194_30830391	4
6_30830391_31603441	6
6_31603441_32714887	11
6_32714887_33268720	4
6_33268720_35487979	8
6_35487979_37604820	3
6_37604820_39327901	1
6_39327901_40377376	1
6_42070983_43788432	4
6_52345678_53414304	2
6_53414304_55603472	3
6_97394408_100182270	2
7_100599028_101555972	9
7_101555972_103557063	3
7_104519078_106042459	2
7_106042459_108139733	3
7_129138332_130737653	1
7_130737653_133121089	2
7_142959223_145271196	1
7_157841905_159335885	2
7_16161_933116	1
7_16862445_19441924	3
7_20085285_22468010	1
7_2022763_2732593	1
7_25869935_28320690	4
7_2732593_4533797	1
7_28320690_31097675	2
7_33516156_36173929	1
7_36173929_37515581	1
7_43119475_44724229	2
7_44724229_45913323	1
7_5814895_6534226	1
7_72409900_73920272	1
7_73920272_76829247	5
7_85942866_88195689	3
7_91032469_92864438	1
7_933116_1313431	5
7_97470258_99117851	4
7_99117851_100599028	23
8_10605687_11421489	8
8_11421489_13634266	10
8_115084266_118673218	1
8_143155464_145078481	7
8_19635329_20203345	1
8_21804225_23039544	3
8_23039544_24817205	2
8_26825008_28304875	2
8_28304875_29470379	1
8_58156092_58815541	3
8_58815541_61416540	3
8_6285276_7295557	2
8_72904964_74532829	4
8_7295557_9297184	4
8_78220626_81044160	1
8_85043384_86399480	1
8_86399480_88073253	3
8_9783277_10605687	1
8_98389353_100608730	1
9_104819468_106536473	1
9_107932781_110015744	2
9_112068802_112930865	1
9_114257521_115159681	2
9_115159681_118559259	1
9_119498019_122109043	3
9_127293231_129403191	6
9_129403191_130347830	5
9_131252501_132423455	1
9_132423455_134176000	4
9_136047132_136605890	5
9_14836365_16659657	1
9_16659657_18661053	1
9_18661053_20463536	3
9_20463536_22206560	3
9_32019370_33578336	1
9_4495328_4884926	3
9_4884926_6557589	1
9_6557589_7154923	1
9_74358165_76285267	1
9_89827251_91404921	1
9_91404921_93909416	4
9_93909416_96159758	2
9_96159758_98830577	2
